position_mut,AS_old,mean
44,M,0.6812193685337335
45,L,0.8441648362497084
46,S,0.8138867264225473
47,P,0.7694209907115149
48,D,0.7016952027130345
49,D,0.6519352995811715
50,I,0.7346024175470454
51,E,0.6160678726522517
52,Q,0.5338743943001434
53,W,0.483258675016588
54,F,0.6842615475652618
55,T,0.5257465304069122
56,E,0.7780458033495463
57,D,0.6059366565668052
58,P,0.7568666665985534
59,G,0.6769630486586379
60,P,0.5977694405740275
61,D,0.5197056560222675
62,E,0.3813841147816459
63,A,0.3257104611777807
